BJD,flux,flux_err,flux_d,flux_err_d,cen_x,cen_y
2456182.6992593044,1.006707242456839,0.0009283085451343711,1.0077223388550147,0.0009292445895182994,15.3765,15.217
2456182.699282709,1.0043582967074263,0.0009290138041825518,1.0051437054516204,0.0009297402934918691,15.3728,15.2194
2456182.699306114,0.9982397373526695,0.0009269853756357199,0.9989308533271661,0.0009276271597455426,15.3604,15.2202
2456182.6993295187,0.99492146568842,0.0009239993476473213,0.9961743766211358,0.00092516294590549,15.356,15.214
2456182.6993529233,0.994665551777047,0.0009238052396524091,0.9962610467091796,0.0009252870709830607,15.3509,15.2102
2456182.699376328,1.0077021103757278,0.0009302302142840014,1.0085098146117517,0.0009309758224124538,15.3664,15.2191
2456182.6993997325,1.0063166472040497,0.000930023165756095,1.0074703145341377,0.0009310893682735025,15.3689,15.2154
2456182.699423137,0.9911978955457775,0.0009236305424569882,0.9913715979019213,0.0009237924039804561,15.3745,15.226
2456182.699446542,0.9959136755853535,0.0009250766470190838,0.9958520447101188,0.00092501939980498,15.3765,15.2286
2456182.699469947,1.0039775886827476,0.000928217961403412,1.0045360719192689,0.0009287343017850355,15.3912,15.2221
2456182.6994933514,1.008162067379335,0.0009296770064985017,1.0090824752434102,0.0009305257609354301,15.3886,15.2182
2456182.699516756,0.9985140767433563,0.0009251672307500427,0.9994743750184839,0.0009260569893589463,15.3834,15.2176
2456182.6995401606,0.9951422788417494,0.0009245719662323122,0.9968073527289272,0.0009261189617429257,15.3833,15.2099
2456182.6995635657,1.0007444627942623,0.0009259663086624311,1.0021473900076212,0.0009272644056106257,15.3808,15.2128
2456182.6995869703,1.0008628895934837,0.000925869254664975,1.002681688590454,0.0009275517729092014,15.3802,15.2083
2456182.699610375,1.0033331875477571,0.0009287097016571895,1.0042615345977999,0.0009295690023586711,15.3693,15.2178
2456182.6996337795,0.9910826423502432,0.0009217444597730918,0.9913354181685236,0.0009219795508745886,15.372,15.2251
2456182.699657184,1.007040215263204,0.0009288585177866221,1.0076802804472629,0.000929448891427258,15.3738,15.221
2456182.699680589,0.9910410401945056,0.0009219256272350098,0.9915660402941945,0.0009224140137160673,15.3704,15.2221
2456182.6997039937,1.005545717889481,0.0009297061226977386,1.0053307554794713,0.0009295073730385431,15.373,15.2302
2456182.6997273983,1.0138677177820032,0.0009322327617648451,1.013566314188017,0.0009319556266910087,15.3653,15.231
2456182.699750803,1.0025745726538076,0.0009279106237448011,1.0029258222082758,0.0009282357149670072,15.3527,15.2238
2456182.6997742075,1.0106104700658383,0.0009323330508955496,1.010965952057665,0.0009326609988238515,15.3538,15.2238
2456182.6997976126,1.0003405291430316,0.0009266942136433516,1.0007595419054376,0.0009270823781643842,15.3558,15.2231
2456182.699821017,0.9979506360829646,0.0009263448192525099,0.9991624027882517,0.0009274696382255117,15.3569,15.2145
2456182.699844422,0.9924586844416717,0.0009240478746460493,0.993140906089635,0.0009246830703209126,15.3493,15.2201
2456182.6998678264,1.0087442617122633,0.0009317345512445705,1.0108321213023688,0.0009336630191348825,15.3606,15.2053
2456182.699891231,0.9873562699782278,0.0009203986443417009,0.9886718017593238,0.0009216249632548688,15.3698,15.2134
2456182.6999146356,1.001454082365884,0.0009267006839098487,1.0029693975236948,0.000928102888581844,15.3738,15.2115
2456182.6999380407,0.993018706345527,0.0009239475855153447,0.9946628851337767,0.000925477400625424,15.3624,15.2098
2456182.6999614453,0.9917148686199097,0.0009233361453313715,0.9929744611194394,0.0009245088889495272,15.3717,15.2141
2456182.69998485,0.998702031182742,0.0009270921350329216,1.0003776203592143,0.0009286475794983884,15.3724,15.2097
2456182.7000082545,1.0072888507359006,0.0009304599087446474,1.0076685425928145,0.0009308106403647552,15.3808,15.2239
2456182.700031659,0.9973174990175692,0.0009269886107689684,0.9983947390110864,0.0009279898858955344,15.3821,15.2163
2456182.700055064,0.9979995056792048,0.0009258433735989868,0.9996065881364588,0.0009273342627581584,15.3775,15.2105
2456182.700078469,1.0141759597323585,0.0009335171096645137,1.0147589258241019,0.0009340537116375483,15.3768,15.2217
2456182.7001018734,1.000719545294156,0.0009280238534084999,1.0008138370007138,0.0009281112954428598,15.3688,15.2268
2456182.700125278,0.9973296385158266,0.000925911311397206,0.9977942386373261,0.0009263426417128407,15.3637,15.2227
2456182.7001486826,1.0089851741128197,0.0009306249005403228,1.0087606482021585,0.0009304178118648509,15.3806,15.2304
2456182.700172087,1.0003842426135041,0.0009253128117462268,1.0005931738529321,0.0009255060642429991,15.3864,15.2258
2456182.7001954922,1.0042942278480311,0.0009298031766951946,1.0046607468191957,0.0009301425100242711,15.3931,15.2242
2456182.700218897,1.0139249315804368,0.0009314433892522023,1.0153829085815997,0.0009327827616229931,15.4018,15.2127
2456182.7002423014,0.9986499734496643,0.0009258174925329984,0.9997416925521424,0.00092682959153553,15.4068,15.2165
2456182.700265706,0.9840684484484412,0.0009192307612389795,0.9860607299476316,0.0009210917765392775,15.3976,15.2063
2456182.7002891107,0.9988262264925889,0.0009249116552234085,1.00049834832741,0.000926460037647657,15.4057,15.2102
2456182.7003125157,0.9997417697004932,0.0009268915567715124,1.0017133404124636,0.0009287194610382819,15.4,15.2069
2456182.7003359203,0.9974103349191803,0.0009248760687576745,0.9989634635485762,0.0009263162498453781,15.3938,15.2113
2456182.700359325,1.0139130410114476,0.0009343744199753758,1.015066428715236,0.0009354373276638489,15.3909,15.2158
2456182.7003827295,0.9954544767871811,0.0009235496641257747,0.9973943419719686,0.0009253494067374531,15.3745,15.2068
2456182.700406134,1.0142013276645447,0.0009327536182178593,1.015107400528549,0.0009335869268709008,15.3805,15.2183
2456182.700429539,0.9922450734822809,0.0009223979566892961,0.9935881212153826,0.0009236464632506857,15.3719,15.2132
2456182.700452944,1.0044761337579478,0.0009269109675710035,1.0050408786355352,0.0009274321031194978,15.3814,15.2219
2456182.7004763484,1.0056191634701372,0.0009294181958386189,1.0060298647597337,0.0009297977761663129,15.3693,15.2234
2456182.700499753,1.0131536340302165,0.0009342676605781741,1.0134965596245422,0.0009345838853658094,15.3868,15.2244
2456182.7005231576,0.9939526766796783,0.0009245040284340929,0.9950334789099954,0.0009255093137352066,15.3733,15.2161
2456182.7005465627,0.9923694306082513,0.0009213368329837763,0.9935635130310208,0.0009224454444381232,15.37,15.2148
2456182.7005699673,1.0044456688508858,0.0009288326367206338,1.0056224195343266,0.0009299208035314018,15.3741,15.2152
2456182.700593372,1.0043181202930378,0.000927499761822237,1.0058030218688052,0.0009288710861367399,15.3829,15.212
2456182.7006167765,1.0139569866698235,0.0009333488827355899,1.0155159286483038,0.0009347838910968844,15.3784,15.2113
2456182.700640181,0.9972267830910697,0.0009246690202297682,0.9989827341942161,0.0009262972091368941,15.3795,15.2089
2456182.7006635857,1.0063333109310697,0.0009281370830721986,1.0087716937961488,0.0009303859935824885,15.3762,15.2017
2456182.7006869907,0.9931456180437406,0.0009226858835484158,0.9953151025849489,0.0009247014517837089,15.3779,15.2043
2456182.7007103954,0.9986830342114521,0.0009251542902170486,0.9999680213636972,0.0009263446692823263,15.3702,15.2139
2456182.7007338,0.9978618475559652,0.0009262154139225683,0.9986234162075524,0.000926922301980858,15.3653,15.2195
2456182.7007571966,0.9972307873468973,0.0009243066853059323,0.9987737525449066,0.0009257368186971293,15.3571,15.2109
2456182.700780594,1.0015677003223393,0.0009281856100709267,1.003312300646422,0.0009298023883632154,15.3719,15.209
2456182.7008039905,1.002880097264598,0.0009281823749376782,1.0038554839434133,0.0009290851116920467,15.3702,15.2173
2456182.7008273876,1.0008885951678432,0.0009264451083832144,1.002369203054238,0.0009278155925114244,15.3618,15.2117
2456182.7008507843,1.001358784229874,0.0009271438971648981,1.0022812150870613,0.0009279979628137609,15.3661,15.2178
2456182.700874181,0.9959950114039159,0.0009252319334150135,0.9968364321678765,0.000926013573233829,15.3569,15.2185
